"id","age","colorblind","correct_character_options","diff_remember","diff_understand","freq_game","gender","played_tang","edited_character_resp.keys","original_character_resp.keys","character_options","RT","trials_character.thisN","character_resp.corr","manipulation","character_type"
"251100",23,"No","c","Strongly disagree","Strongly disagree","Every 3rd month","Female","No",NA,"a","original_poet.png",8.84,0,0,"original","poet"
"251100",23,"No","b","Strongly disagree","Strongly disagree","Every 3rd month","Female","No",NA,"d","original_hermit.png",2.4819,1,0,"original","hermit"
"251100",23,"No","a","Strongly disagree","Strongly disagree","Every 3rd month","Female","No",NA,"b","original_monk.png",3.1244,2,0,"original","monk"
"251100",23,"No","d","Strongly disagree","Strongly disagree","Every 3rd month","Female","No",NA,"d","original_architect.png",1.8419,3,1,"original","architect"
"427569",28,"No","b","Strongly disagree","Disagree","Weekly","Male","No","a",NA,"edited_hermit.png",11.9409,0,0,"edited","hermit"
"427569",28,"No","d","Strongly disagree","Disagree","Weekly","Male","No","d",NA,"edited_architect.png",7.3349,1,1,"edited","architect"
"427569",28,"No","a","Strongly disagree","Disagree","Weekly","Male","No","b",NA,"edited_monk.png",5.5178,2,0,"edited","monk"
"427569",28,"No","c","Strongly disagree","Disagree","Weekly","Male","No","c",NA,"edited_poet.png",0.8109,3,1,"edited","poet"
"579998",26,"No","b","Disagree","Agree","Every 3rd month","Male","No","d",NA,"edited_hermit.png",10.9333,0,0,"edited","hermit"
"579998",26,"No","c","Disagree","Agree","Every 3rd month","Male","No","b",NA,"edited_poet.png",3.5751,1,0,"edited","poet"
"579998",26,"No","d","Disagree","Agree","Every 3rd month","Male","No","d",NA,"edited_architect.png",6.4458,2,1,"edited","architect"
"579998",26,"No","a","Disagree","Agree","Every 3rd month","Male","No","a",NA,"edited_monk.png",1.2942,3,1,"edited","monk"
"abcabc",25,"No","c","Disagree","Disagree","Semi-annually","Male","No","c",NA,"edited_poet.png",2.061,1,1,"edited","poet"
"abcabc",25,"No","a","Disagree","Disagree","Semi-annually","Male","No","a",NA,"edited_monk.png",6.16,0,1,"edited","monk"
"abcabc",25,"No","b","Disagree","Disagree","Semi-annually","Male","No","a",NA,"edited_hermit.png",3.984,2,0,"edited","hermit"
"abcabc",25,"No","d","Disagree","Disagree","Semi-annually","Male","No","d",NA,"edited_architect.png",1.669,3,1,"edited","architect"
"au691988",28,"No","c","Disagree","Agree","Every 3rd month","Male","No","c",NA,"edited_poet.png",5.1635,1,1,"edited","poet"
"au691988",28,"No","a","Disagree","Agree","Every 3rd month","Male","No","a",NA,"edited_monk.png",2.2601,2,1,"edited","monk"
"au691988",28,"No","d","Disagree","Agree","Every 3rd month","Male","No","d",NA,"edited_architect.png",1.5133,3,1,"edited","architect"
"au691988",28,"No","b","Disagree","Agree","Every 3rd month","Male","No","d",NA,"edited_hermit.png",12.987,0,0,"edited","hermit"
"Ben24jada",56,"No","b","Neither nor","Disagree","Monthly","Female","No",NA,"d","original_hermit.png",13.925,0,0,"original","hermit"
"Ben24jada",56,"No","a","Neither nor","Disagree","Monthly","Female","No",NA,"a","original_monk.png",7.8902,1,1,"original","monk"
"Ben24jada",56,"No","c","Neither nor","Disagree","Monthly","Female","No",NA,"b","original_poet.png",8.8203,2,0,"original","poet"
