"id","age","colorblind","correctGazeanswer","diff_remember","diff_understand","freq_game","gender","played_tang","options","gaze_response.corr","gaze_response.keys","RT","trials_gaze.thisN","manipulation","stimulus_type"
"251100",23,"No","left","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","gaze1_cue.png","1","left",2.5214,0,"edited","gaze1"
"251100",23,"No","right","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","gaze3_cue.png","1","right",0.8921,12,"edited","gaze3"
"251100",23,"No","right","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","gaze6_cue.png","1","right",0.9339,13,"edited","gaze6"
"251100",23,"No","up","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","gaze5_plain.png","1","up",1.2017,3,"original","gaze5"
"251100",23,"No","right","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","gaze7_cue.png","1","right",1.8122,4,"edited","gaze7"
"251100",23,"No","right","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","gaze3_plain.png","1","right",1.0134,1,"original","gaze3"
"251100",23,"No","right","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","gaze6_plain.png","1","right",0.7254,2,"original","gaze6"
"251100",23,"No","up","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","gaze5_cue.png","1","up",2.167,11,"edited","gaze5"
"251100",23,"No","left","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","gaze2_cue.png","1","left",1.552,7,"edited","gaze2"
"251100",23,"No","left","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","gaze1_plain.png","1","left",0.756,9,"original","gaze1"
"251100",23,"No","right","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","gaze7_plain.png","1","right",0.5998,10,"original","gaze7"
"251100",23,"No","left","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","gaze2_plain.png","1","left",3.0835,6,"original","gaze2"
"251100",23,"No","left","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","gaze4_cue.png","1","left",1.7834,8,"edited","gaze4"
"251100",23,"No","left","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","gaze4_plain.png","1","left",1.0229,5,"original","gaze4"
"3FFG54E",23,"No","right","Neither nor","Neither nor","Rarely","Female","No","gaze7_cue.png","1","right",3.234,10,"edited","gaze7"
"3FFG54E",23,"No","left","Neither nor","Neither nor","Rarely","Female","No","gaze2_cue.png","1","left",2.339,11,"edited","gaze2"
"3FFG54E",23,"No","right","Neither nor","Neither nor","Rarely","Female","No","gaze7_plain.png","1","right",1.148,12,"original","gaze7"
"3FFG54E",23,"No","left","Neither nor","Neither nor","Rarely","Female","No","gaze4_cue.png","1","left",1.508,13,"edited","gaze4"
"3FFG54E",23,"No","right","Neither nor","Neither nor","Rarely","Female","No","gaze6_plain.png","1","right",3.381,0,"original","gaze6"
"3FFG54E",23,"No","up","Neither nor","Neither nor","Rarely","Female","No","gaze5_plain.png","1","up",2.108,1,"original","gaze5"
"3FFG54E",23,"No","right","Neither nor","Neither nor","Rarely","Female","No","gaze3_cue.png","1","right",3.756,2,"edited","gaze3"
"3FFG54E",23,"No","left","Neither nor","Neither nor","Rarely","Female","No","gaze1_cue.png","1","left",1.313,3,"edited","gaze1"
"3FFG54E",23,"No","up","Neither nor","Neither nor","Rarely","Female","No","gaze5_cue.png","1","up",0.898,4,"edited","gaze5"
"3FFG54E",23,"No","left","Neither nor","Neither nor","Rarely","Female","No","gaze2_plain.png","1","left",4.488,5,"original","gaze2"
"3FFG54E",23,"No","right","Neither nor","Neither nor","Rarely","Female","No","gaze3_plain.png","1","right",1.608,6,"original","gaze3"
"3FFG54E",23,"No","left","Neither nor","Neither nor","Rarely","Female","No","gaze4_plain.png","1","left",5.659,7,"original","gaze4"
"3FFG54E",23,"No","left","Neither nor","Neither nor","Rarely","Female","No","gaze1_plain.png","1","left",1.04,8,"original","gaze1"
"3FFG54E",23,"No","right","Neither nor","Neither nor","Rarely","Female","No","gaze6_cue.png","1","right",0.736,9,"edited","gaze6"
"427569",28,"No","right","Strongly disagree","Disagree","Weekly","Male","No","gaze3_plain.png","0","down",5.3881,0,"original","gaze3"
"427569",28,"No","up","Strongly disagree","Disagree","Weekly","Male","No","gaze5_cue.png","1","up",4.5213,1,"edited","gaze5"
"427569",28,"No","left","Strongly disagree","Disagree","Weekly","Male","No","gaze4_cue.png","1","left",1.7647,2,"edited","gaze4"
"427569",28,"No","right","Strongly disagree","Disagree","Weekly","Male","No","gaze3_cue.png","1","right",1.0925,3,"edited","gaze3"
"427569",28,"No","left","Strongly disagree","Disagree","Weekly","Male","No","gaze1_cue.png","1","left",1.9266,4,"edited","gaze1"
"427569",28,"No","right","Strongly disagree","Disagree","Weekly","Male","No","gaze6_cue.png","1","right",0.6864,13,"edited","gaze6"
"427569",28,"No","right","Strongly disagree","Disagree","Weekly","Male","No","gaze6_plain.png","1","right",0.6056,8,"original","gaze6"
"427569",28,"No","right","Strongly disagree","Disagree","Weekly","Male","No","gaze7_cue.png","1","right",0.6576,5,"edited","gaze7"
"427569",28,"No","left","Strongly disagree","Disagree","Weekly","Male","No","gaze2_plain.png","1","left",1.9979,6,"original","gaze2"
"427569",28,"No","left","Strongly disagree","Disagree","Weekly","Male","No","gaze2_cue.png","1","left",0.6783,7,"edited","gaze2"
"427569",28,"No","left","Strongly disagree","Disagree","Weekly","Male","No","gaze4_plain.png","1","left",0.6529,12,"original","gaze4"
"427569",28,"No","left","Strongly disagree","Disagree","Weekly","Male","No","gaze1_plain.png","1","left",0.7936,9,"original","gaze1"
