"id","age","colorblind","correct_token_options","diff_remember","diff_understand","freq_game","gender","played_haven","token_original_resp.keys","token_edited_resp.keys","token_options","RT","trials_tokens.thisN","token_resp.corr","manipulation","token_color"
"251100",23,"No","m","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","m",NA,"original_tokens_blues_m.png",3.8759,0,1,"original","blue"
"251100",23,"No","g","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","g",NA,"original_tokens_greens_g.png",2.9278,1,1,"original","green"
"251100",23,"No","b","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","b",NA,"original_tokens_blues_b.png",3.7779,2,1,"original","blue"
"251100",23,"No","d","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","d",NA,"original_tokens_blues_d.png",2.1464,3,1,"original","blue"
"251100",23,"No","k","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","k",NA,"original_tokens_blues_k.png",3.0746,4,1,"original","blue"
"251100",23,"No","e","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","e",NA,"original_tokens_greens_e.png",3.1219,5,1,"original","green"
"251100",23,"No","h","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","h",NA,"original_tokens_greens_h.png",2.7317,6,1,"original","green"
"251100",23,"No","n","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","n",NA,"original_tokens_greens_n.png",2.5502,7,1,"original","green"
"251100",23,"No","o","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","o",NA,"original_tokens_blues_o.png",4.8851,8,1,"original","blue"
"251100",23,"No","a","Strongly disagree","Strongly disagree","Every 3rd month","Female","No","a",NA,"original_tokens_greens_a.png",2.1255,9,1,"original","green"
"427569",28,"No","e","Strongly disagree","Disagree","Weekly","Male","No",NA,"e","edited_tokens_greens_e.png",2.9563,0,1,"edited","green"
"427569",28,"No","a","Strongly disagree","Disagree","Weekly","Male","No",NA,"a","edited_tokens_greens_a.png",2.8094,1,1,"edited","green"
"427569",28,"No","d","Strongly disagree","Disagree","Weekly","Male","No",NA,"d","edited_tokens_blues_d.png",2.2801,2,1,"edited","blue"
"427569",28,"No","g","Strongly disagree","Disagree","Weekly","Male","No",NA,"g","edited_tokens_greens_g.png",2.8282,3,1,"edited","green"
"427569",28,"No","h","Strongly disagree","Disagree","Weekly","Male","No",NA,"h","edited_tokens_greens_h.png",3.905,4,1,"edited","green"
"427569",28,"No","m","Strongly disagree","Disagree","Weekly","Male","No",NA,"m","edited_tokens_blues_m.png",3.4229,5,1,"edited","blue"
"427569",28,"No","b","Strongly disagree","Disagree","Weekly","Male","No",NA,"b","edited_tokens_blues_b.png",3.4678,6,1,"edited","blue"
"427569",28,"No","n","Strongly disagree","Disagree","Weekly","Male","No",NA,"n","edited_tokens_greens_n.png",2.4532,7,1,"edited","green"
"427569",28,"No","o","Strongly disagree","Disagree","Weekly","Male","No",NA,"o","edited_tokens_blues_o.png",5.4143,8,1,"edited","blue"
"427569",28,"No","k","Strongly disagree","Disagree","Weekly","Male","No",NA,"k","edited_tokens_blues_k.png",3.6367,9,1,"edited","blue"
"579998",26,"No","m","Disagree","Agree","Every 3rd month","Male","No",NA,"m","edited_tokens_blues_m.png",7.947,0,1,"edited","blue"
"579998",26,"No","o","Disagree","Agree","Every 3rd month","Male","No",NA,"o","edited_tokens_blues_o.png",4.7371,1,1,"edited","blue"
"579998",26,"No","e","Disagree","Agree","Every 3rd month","Male","No",NA,"e","edited_tokens_greens_e.png",5.2119,2,1,"edited","green"
"579998",26,"No","a","Disagree","Agree","Every 3rd month","Male","No",NA,"a","edited_tokens_greens_a.png",3.0318,3,1,"edited","green"
"579998",26,"No","k","Disagree","Agree","Every 3rd month","Male","No",NA,"k","edited_tokens_blues_k.png",2.3835,4,1,"edited","blue"
"579998",26,"No","n","Disagree","Agree","Every 3rd month","Male","No",NA,"n","edited_tokens_greens_n.png",2.9514,5,1,"edited","green"
"579998",26,"No","g","Disagree","Agree","Every 3rd month","Male","No",NA,"g","edited_tokens_greens_g.png",2.3076,6,1,"edited","green"
"579998",26,"No","b","Disagree","Agree","Every 3rd month","Male","No",NA,"b","edited_tokens_blues_b.png",2.4943,7,1,"edited","blue"
"579998",26,"No","h","Disagree","Agree","Every 3rd month","Male","No",NA,"h","edited_tokens_greens_h.png",7.8314,8,1,"edited","green"
"579998",26,"No","d","Disagree","Agree","Every 3rd month","Male","No",NA,"d","edited_tokens_blues_d.png",1.7892,9,1,"edited","blue"
"abcabc",25,"No","a","Disagree","Disagree","Semi-annually","Male","No",NA,"a","edited_tokens_greens_a.png",1.872,6,1,"edited","green"
"abcabc",25,"No","k","Disagree","Disagree","Semi-annually","Male","No",NA,"o","edited_tokens_blues_k.png",2.944,7,0,"edited","blue"
"abcabc",25,"No","b","Disagree","Disagree","Semi-annually","Male","No",NA,"b","edited_tokens_blues_b.png",7.777,8,1,"edited","blue"
"abcabc",25,"No","e","Disagree","Disagree","Semi-annually","Male","No",NA,"e","edited_tokens_greens_e.png",3.191,9,1,"edited","green"
"abcabc",25,"No","h","Disagree","Disagree","Semi-annually","Male","No",NA,"h","edited_tokens_greens_h.png",2.235,3,1,"edited","green"
"abcabc",25,"No","g","Disagree","Disagree","Semi-annually","Male","No",NA,"g","edited_tokens_greens_g.png",3.538,0,1,"edited","green"
"abcabc",25,"No","n","Disagree","Disagree","Semi-annually","Male","No",NA,"n","edited_tokens_greens_n.png",1.889,1,1,"edited","green"
"abcabc",25,"No","d","Disagree","Disagree","Semi-annually","Male","No",NA,"d","edited_tokens_blues_d.png",2.574,2,1,"edited","blue"
"abcabc",25,"No","m","Disagree","Disagree","Semi-annually","Male","No",NA,"m","edited_tokens_blues_m.png",2.109,4,1,"edited","blue"
