original_character_resp.keys,trials_character_original.thisRepN,trials_character_original.thisTrialN,trials_character_original.thisN,trials_character_original.thisIndex,trials_character_original.ran,original_character_options,correct_character_options,id,date,expName,psychopyVersion,OS,frameRate,fbclid,edited_character_resp.keys,edited_character_resp.corr,edited_character_resp.rt,trials_character_edited.thisRepN,trials_character_edited.thisTrialN,trials_character_edited.thisN,trials_character_edited.thisIndex,trials_character_edited.ran,edited_character_options,seed_response.keys,seed_response.corr,seed_response.rt,trials_seeds.thisRepN,trials_seeds.thisTrialN,trials_seeds.thisN,trials_seeds.thisIndex,trials_seeds.ran,seed_options,correctSeednumber,tree_response.keys,tree_response.corr,tree_response.rt,trials_tree.thisRepN,trials_tree.thisTrialN,trials_tree.thisN,trials_tree.thisIndex,trials_tree.ran,tree_options,correctTreenumber,token_original_resp.keys,token_original_resp.corr,trials_tokens_original.thisRepN,trials_tokens_original.thisTrialN,trials_tokens_original.thisN,trials_tokens_original.thisIndex,trials_tokens_original.ran,original_token_options,correct_token_options,token_edited_resp.keys,token_edited_resp.corr,token_edited_resp.rt,trials_tokens_edited.thisRepN,trials_tokens_edited.thisTrialN,trials_tokens_edited.thisN,trials_tokens_edited.thisIndex,trials_tokens_edited.ran,edited_token_options,gaze_response.keys,gaze_response.corr,gaze_response.rt,key_resp_6.keys,trials_gaze.thisRepN,trials_gaze.thisTrialN,trials_gaze.thisN,trials_gaze.thisIndex,trials_gaze.ran,options,correctGazeanswer,landscapeA_resp.keys,landscapeA_resp.corr,trials_sight_color.thisRepN,trials_sight_color.thisTrialN,trials_sight_color.thisN,trials_sight_color.thisIndex,trials_sight_color.ran,landscape_options,correct_landscape_options,landscapeB_resp.keys,landscapeB_resp.corr,landscapeB_resp.rt,trials_sight_black.thisRepN,trials_sight_black.thisTrialN,trials_sight_black.thisN,trials_sight_black.thisIndex,trials_sight_black.ran
,0,0,0,3,1,original_architect.png,d,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,1,0,1,original_monk.png,a,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,2,2,1,1,original_hermit.png,b,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,3,3,2,1,original_poet.png,c,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,a,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,a,1,4.4,0,0,0,0,1,edited_monk.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,d,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,d,1,2.627,0,1,1,3,1,edited_architect.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,c,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,b,0,1.909,0,2,2,2,1,edited_poet.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,b,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,a,0,3.002,0,3,3,1,1,edited_hermit.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,0,1,8.029,0,0,0,0,1,orange_0_grey.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hej7,2024-03-17_20h09.40.213,board game,2021.1.2,MacIntel,62.5,IwAR3Ldx4u340HjeUn6Mej_VVqLxLJTW-l_cEIadiRFor4sOFx01dHqWqjxG8,,,,,,,,,,3,1,1.286,0,1,1,6,1,orange_3_grey.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
